frame,px,py,vx,vy
0,10.015261,10.014571,0.991611,0.496492
0,10.015260525051024,10.014570570698440,0.991610783590835,0.496492482991628
1,10.107753,10.057662,0.987769,0.492932
1,10.107753107939704,10.057662482018285,0.987769300220498,0.492932231996066
2,10.204261,10.104420,0.985525,0.489520
2,10.204260538529493,10.104420323474281,0.985525482143043,0.489519814434333
3,10.301977,10.152206,0.984495,0.487242
3,10.301977391053240,10.152206428391324,0.984494552279358,0.487241952049742
4,10.400345,10.200579,0.984514,0.486411
4,10.400345472513138,10.200579048506160,0.984514461460323,0.486410587378981
5,10.499210,10.249432,0.985371,0.486731
5,10.499209849035623,10.249432401150790,0.985370753828682,0.486731049706704
6,10.598474,10.298683,0.986724,0.487738
6,10.598473969051916,10.298683208200197,0.986723854793083,0.487737964428758
7,10.698039,10.348235,0.988259,0.489038
7,10.698038577777259,10.348234744447424,0.988259446386529,0.489037944639995
8,10.797812,10.397996,0.989771,0.490381
8,10.797812178220735,10.397995710657229,0.989771351165193,0.490381321292865
9,10.897723,10.447894,0.991156,0.491641
9,10.897722923128777,10.447894195473420,0.991156154445325,0.491640819650536
10,10.997720,10.497880,0.992378,0.492767
10,10.997720153280797,10.497879569038439,0.992377709306570,0.492766694786468
11,11.097770,10.547918,0.993435,0.493750
11,11.097770368058798,10.547918445264898,0.993435482664284,0.493750243237752
12,11.197852,10.597990,0.994345,0.494601
12,11.197852210137430,10.597989612371979,0.994344529190397,0.494601299759266
13,11.297952,10.648080,0.995125,0.495336
13,11.297952341549435,10.648079865073925,0.995124814282397,0.495336254830973
14,11.398063,10.698181,0.995796,0.495972
14,11.398062530971483,10.698181062795507,0.995796198418925,0.495972333752141
15,11.498178,10.748288,0.996376,0.496525
15,11.498177734470669,10.748288194892767,0.996376413024068,0.496525192164474
16,11.598295,10.798398,0.996880,0.497008
16,11.598294870575963,10.798398152529202,0.996880478739172,0.497008137151095
17,11.698412,10.848509,0.997321,0.497432
17,11.698412048517223,10.848508963965331,0.997320759697385,0.497432086859576
18,11.798528,10.898619,0.997707,0.497806
18,11.798528084197846,10.898619324490799,0.997707262909912,0.497805828421228
19,11.898642,10.948728,0.998048,0.498136
19,11.898642198033668,10.948728311264485,0.998048004836950,0.498136366126903
20,11.998754,10.998835,0.998349,0.498429
20,11.998753828794415,10.998835213804668,0.998349369983994,0.498429267864752
21,12.098863,11.048939,0.998616,0.498689
21,12.098862522560850,11.048939436950702,0.998616433378217,0.498688973885261
22,12.198968,11.099040,0.998853,0.498919
22,12.198967870965729,11.099040449372627,0.998853239074661,0.498919057761308
23,12.299069,11.149138,0.999063,0.499122
23,12.299069481861924,11.149137760619645,0.999063034961786,0.499122440306286
24,12.399167,11.199231,0.999248,0.499302
24,12.399166970965254,11.199230915670848,0.999248467010289,0.499301561082124
25,12.499260,11.249319,0.999412,0.499459
25,12.499259966380732,11.249319499565594,0.999411736895103,0.499458512970180
26,12.599348,11.299403,0.999555,0.499595
26,12.599348120136179,11.299403146957196,0.999554726990798,0.499595145038914
27,12.699431,11.349482,0.999679,0.499713
